source,target,weight,similarity_metric,edge_threshold_quantile,edge_threshold_value
United Nations Children’s Fund (UNICEF) ,World Meteorological Organization (WMO),0.8844879575083372,cosine,0.9,0.8605916816926672
United Nations Children’s Fund (UNICEF) , International Council for the Exploration of the Sea (ICES),0.8888211625297597,cosine,0.9,0.8605916816926672
United Nations Children’s Fund (UNICEF) ,World Trade Organization (WTO) ,0.8729710509559692,cosine,0.9,0.8605916816926672
United Nations Children’s Fund (UNICEF) ,UN Population Fund (UNFPA),0.8857722439843704,cosine,0.9,0.8605916816926672
United Nations Children’s Fund (UNICEF) ,World Food Programme (WFP),0.864466842269459,cosine,0.9,0.8605916816926672
United Nations Children’s Fund (UNICEF) ,World Tourism Organization/UN Tourism (UNWTO),0.8905912089289213,cosine,0.9,0.8605916816926672
United Nations Children’s Fund (UNICEF) ,Secretariat of the United Nations Convention to Combat Desertification (UNCCD),0.8791905372245118,cosine,0.9,0.8605916816926672
United Nations Children’s Fund (UNICEF) ,Minamata Convention on Mercury (Minamata),0.8731157982022016,cosine,0.9,0.8605916816926672
World Health Organization (WHO) , International Council for the Exploration of the Sea (ICES),0.8632078344055237,cosine,0.9,0.8605916816926672
World Health Organization (WHO) ,IPCC,0.8701282842612825,cosine,0.9,0.8605916816926672
World Health Organization (WHO) ,"International Organization for Migration (IOM)

",0.9146065223999867,cosine,0.9,0.8605916816926672
World Health Organization (WHO) ,UN Entity for Gender Equality and the Empowerment of Women (UN-Women),0.864450611977101,cosine,0.9,0.8605916816926672
World Health Organization (WHO) ,World Food Programme (WFP),0.8819548842137223,cosine,0.9,0.8605916816926672
World Health Organization (WHO) ,World Tourism Organization/UN Tourism (UNWTO),0.9202870229441585,cosine,0.9,0.8605916816926672
World Health Organization (WHO) ,Secretariat of the United Nations Convention to Combat Desertification (UNCCD),0.9187429147101104,cosine,0.9,0.8605916816926672
World Health Organization (WHO) ,United Nations Office on Drugs and Crime (UNODC),0.8675886840786436,cosine,0.9,0.8605916816926672
"Commissioner for Refugees (UNHCR), and the Office of the United Nations High Commissioner for Human Rights (OHCHR)",UN Entity for Gender Equality and the Empowerment of Women (UN-Women),0.867457149963051,cosine,0.9,0.8605916816926672
United Nations Office for Disaster Risk Reduction (UNDRR),International Atomic Energy Agency (IAEA),0.8679033892178344,cosine,0.9,0.8605916816926672
