institution,ordinal_score_subject_matter,biodiversity_ecosystem_conservation_within_igo,cultural_heritage_traditional_knowledge_data_governance_within_igo,disaster_risk_reduction_resilience_within_igo,environmental_protection_climate_change_within_igo,human_rights_social_justice_advocacy_within_igo,international_cooperation_governance_within_igo,research_science_innovation_within_igo,security_safety_within_igo,sustainable_development_capacity_building_within_igo,trade_investment_economic_cooperation_within_igo,biodiversity_ecosystem_conservation_across_igo,cultural_heritage_traditional_knowledge_data_governance_across_igo,disaster_risk_reduction_resilience_across_igo,environmental_protection_climate_change_across_igo,human_rights_social_justice_advocacy_across_igo,international_cooperation_governance_across_igo,research_science_innovation_across_igo,security_safety_across_igo,sustainable_development_capacity_building_across_igo,trade_investment_economic_cooperation_across_igo
The Intergovernmental Science-Policy Platform on Biodiversity and Ecosystem Services (IPBES),3,10.0,0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,6.666666666666666,0.0,0.0,0.0,0.0,0.0,3.333333333333333,0.0,3.333333333333333,0.0
IPCC,3,0.0,0,0.0,10.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,8.333333333333334,0.0,0.0,3.333333333333333,0.0,0.0,0.0
World Trade Organization (WTO) ,5,0.0,0,0.0,6.666666666666666,0.0,3.333333333333333,6.666666666666666,0.0,10.0,6.666666666666666,0.0,0.0,0.0,3.333333333333333,0.0,1.666666666666667,3.333333333333333,0.0,5.0,3.333333333333333
"International Organization for Migration (IOM)

",5,0.0,0,0.0,10.0,10.0,5.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,3.333333333333333,3.333333333333333,1.666666666666667,0.0,0.0,1.666666666666667,1.666666666666667
United Nations Office for Project Services (UNOPS),4,0.0,0,5.0,10.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,1.666666666666667,3.333333333333333,0.0,0.0,0.0,3.333333333333333,3.333333333333333,0.0
UN Entity for Gender Equality and the Empowerment of Women (UN-Women),5,0.0,0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,5.0,0.0,0.0,0.0,0.0,3.333333333333333,0.0,0.0,3.333333333333333,0.0,1.666666666666667
World Intellectual Property Organisation (WIPO),5,6.666666666666666,0,0.0,0.0,3.333333333333333,10.0,0.0,0.0,6.666666666666666,6.666666666666666,3.333333333333333,0.0,0.0,0.0,1.666666666666667,5.0,0.0,0.0,3.333333333333333,3.333333333333333
UN Population Fund (UNFPA),6,0.0,0,0.0,6.666666666666666,10.0,3.333333333333333,6.666666666666666,0.0,6.666666666666666,0.0,0.0,0.0,0.0,3.333333333333333,5.0,1.666666666666667,3.333333333333333,0.0,3.333333333333333,0.0
United Nations Human Settlements Programme (UN-Habitat),5,6.666666666666666,0,0.0,6.666666666666666,0.0,3.333333333333333,6.666666666666666,0.0,10.0,0.0,3.333333333333333,0.0,0.0,3.333333333333333,0.0,1.666666666666667,3.333333333333333,0.0,5.0,0.0
World Food Programme (WFP),3,0.0,0,10.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,3.333333333333333,0.0,0.0,0.0,0.0,0.0,1.666666666666667,0.0
