institution,ordinal_score_spatial_jurisdiction,archipelago_within_igo,coastal_zone_within_igo,contiguous_zone_cz_within_igo,enclosed_or_semi_enclosed_sea_within_igo,exclusive_economic_zone_eez_within_igo,extended_continental_shelf_cs_within_igo,high_seas_within_igo,Internal waters_WithinIGO,territorial_sea_ts_within_igo,the_area_within_igo,archipelago_across_igo,coastal_zone_across_igo,contiguous_zone_cz_across_igo,enclosed_or_semi_enclosed_sea_across_igo,exclusive_economic_zone_eez_across_igo,extended_continental_shelf_cs_across_igo,high_seas_across_igo,Internal waters_AcrossIGO,territorial_sea_ts_across_igo,the_area_across_igo
World Intellectual Property Organisation (WIPO),0,0.0,0.0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0
UN Population Fund (UNFPA),0,0.0,0.0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0
United Nations Human Settlements Programme (UN-Habitat),1,0.0,10.0,0,0.0,0,0,0,0.0,0,0,0.0,2.727272727272727,0,0.0,0,0,0.0,0.0,0,0
World Food Programme (WFP),0,0.0,0.0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0
World Tourism Organization/UN Tourism (UNWTO),8,8.0,6.0,0,10.0,0,0,0,4.0,0,0,3.636363636363637,2.727272727272727,0,4.545454545454545,0,0,0.0,1.818181818181818,0,0
UN Research Institute for Social Development (UNRISD),0,0.0,0.0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0
"Secretariat of the Basel, Rotterdam and Stockholm Conventions (BRS)


",8,8.0,6.0,0,10.0,0,0,0,4.0,0,0,3.636363636363637,2.727272727272727,0,4.545454545454545,0,0,0.0,1.818181818181818,0,0
"Secretariat of the Convention on Biological Diversity (CBD)

",9,4.444444444444445,4.444444444444445,0,5.555555555555555,0,0,10,2.222222222222222,0,0,3.636363636363637,3.636363636363637,0,4.545454545454545,0,0,8.181818181818182,1.818181818181818,0,0
"
Secretariat of the Convention on International Trade in Endangered Species of Wild Fauna and Flora (CITES)

",8,8.0,6.0,0,10.0,0,0,0,4.0,0,0,3.636363636363637,2.727272727272727,0,4.545454545454545,0,0,0.0,1.818181818181818,0,0
"
Secretariat of the Convention on Migratory Species (CMS)",8,8.0,6.0,0,10.0,0,0,0,4.0,0,0,3.636363636363637,2.727272727272727,0,4.545454545454545,0,0,0.0,1.818181818181818,0,0
International Fund for Agricultural Development (IFAD),0,0.0,0.0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0
"
International Trade Centre (ITC)",0,0.0,0.0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0
Secretariat of the United Nations Convention to Combat Desertification (UNCCD),0,0.0,0.0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0
United Nations University (UNU),0,0.0,0.0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0
Ramsar Convention on Wetlands Secretariat (Ramsar) ,3,10.0,10.0,0,0.0,0,0,0,5.0,0,0,3.636363636363637,3.636363636363637,0,0.0,0,0,0.0,1.818181818181818,0,0
Minamata Convention on Mercury (Minamata),0,0.0,0.0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0
United Nations Office for Outer Space Affairs (UNOOSA),0,0.0,0.0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0
United Nations Office on Drugs and Crime (UNODC),0,0.0,0.0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0
