institution,ordinal_score_strategies,capacity_development_operational_delivery_within_igo,collaboration_partnerships_networks_within_igo,environmental_climate_biodiversity_action_within_igo,financial_and_budgetary_management_within_igo,inclusion_rights_social_justice_within_igo,innovation_technology_development_within_igo,knowledge_research_data_systems_within_igo,monitoring_evaluation_accountability_within_igo,policy_regulation_legal_frameworks_within_igo,strategic_and_institutional_planning_within_igo,capacity_development_operational_delivery_across_igo,collaboration_partnerships_networks_across_igo,environmental_climate_biodiversity_action_across_igo,financial_and_budgetary_management_across_igo,inclusion_rights_social_justice_across_igo,innovation_technology_development_across_igo,knowledge_research_data_systems_across_igo,monitoring_evaluation_accountability_across_igo,policy_regulation_legal_frameworks_across_igo,strategic_and_institutional_planning_across_igo
International Monetary Fund (IMF),8,6.666666666666666,0.0,6.666666666666666,6.666666666666666,0.0,6.666666666666666,3.333333333333333,3.333333333333333,10.0,10.0,3.333333333333333,0.0,3.333333333333333,3.333333333333333,0.0,3.333333333333333,1.666666666666667,1.666666666666667,5.0,5.0
International Hydrographic Organization (IHO) ,8,6.666666666666666,3.333333333333333,6.666666666666666,6.666666666666666,0.0,10.0,6.666666666666666,0.0,3.333333333333333,10.0,3.333333333333333,1.666666666666667,3.333333333333333,3.333333333333333,0.0,5.0,3.333333333333333,0.0,1.666666666666667,5.0
 International Council for the Exploration of the Sea (ICES),7,1.666666666666667,6.666666666666666,0.0,1.666666666666667,0.0,1.666666666666667,10.0,3.333333333333333,5.0,6.666666666666666,1.666666666666667,6.666666666666666,0.0,1.666666666666667,0.0,1.666666666666667,10.0,3.333333333333333,5.0,6.666666666666666
The Intergovernmental Science-Policy Platform on Biodiversity and Ecosystem Services (IPBES),7,0.0,0.0,10.0,6.666666666666666,0.0,10.0,10.0,6.666666666666666,6.666666666666666,6.666666666666666,0.0,0.0,5.0,3.333333333333333,0.0,5.0,5.0,3.333333333333333,3.333333333333333,3.333333333333333
IPCC,4,0.0,0.0,10.0,7.5,0.0,0.0,7.5,7.5,0.0,0.0,0.0,0.0,6.666666666666666,5.0,0.0,0.0,5.0,5.0,0.0,0.0
World Trade Organization (WTO) ,6,0.0,3.333333333333333,0.0,6.666666666666666,3.333333333333333,3.333333333333333,0.0,0.0,10.0,6.666666666666666,0.0,1.666666666666667,0.0,3.333333333333333,1.666666666666667,1.666666666666667,0.0,0.0,5.0,3.333333333333333
"International Organization for Migration (IOM)

",6,4.0,0.0,6.0,8.0,0.0,4.0,4.0,0.0,2.0,10.0,3.333333333333333,0.0,5.0,6.666666666666666,0.0,3.333333333333333,3.333333333333333,0.0,1.666666666666667,8.333333333333334
United Nations Office for Project Services (UNOPS),6,5.0,5.0,0.0,7.5,0.0,2.5,2.5,0.0,5.0,10.0,3.333333333333333,3.333333333333333,0.0,5.0,0.0,1.666666666666667,1.666666666666667,0.0,3.333333333333333,6.666666666666666
UN Entity for Gender Equality and the Empowerment of Women (UN-Women),8,6.666666666666666,10.0,0.0,6.666666666666666,10.0,6.666666666666666,6.666666666666666,0.0,6.666666666666666,10.0,3.333333333333333,5.0,0.0,3.333333333333333,5.0,3.333333333333333,3.333333333333333,0.0,3.333333333333333,5.0
World Intellectual Property Organisation (WIPO),7,6.666666666666666,0.0,3.333333333333333,6.666666666666666,10.0,10.0,6.666666666666666,0.0,3.333333333333333,10.0,3.333333333333333,0.0,1.666666666666667,3.333333333333333,5.0,5.0,3.333333333333333,0.0,1.666666666666667,5.0
