institution,ordinal_score_sources,bilateral_or_multilateral_arrangements_within_igo,binding_secondary_law_within_igo,Compliance & Oversight_WithinIGO,Customary & Soft Law_WithinIGO,Delegated or Derived Powers_WithinIGO,Foundational Treaties & Charters_WithinIGO,Non-binding Secondary Law_WithinIGO,Other Governance Instruments_WithinIGO,Strategic Frameworks_WithinIGO,technical_norms_and_standards_within_igo,bilateral_or_multilateral_arrangements_across_igo,binding_secondary_law_across_igo,Compliance & Oversight_AcrossIGO,Customary & Soft Law_AcrossIGO,Delegated or Derived Powers_AcrossIGO,Foundational Treaties & Charters_AcrossIGO,Non-binding Secondary Law_AcrossIGO,Other Governance Instruments_AcrossIGO,Strategic Frameworks_AcrossIGO,technical_norms_and_standards_across_igo
"International Organization for Migration (IOM)

",4,4.0,8.0,0.0,0,0.0,10.0,6.0,0,0,0.0,3.333333333333333,6.666666666666666,0.0,0,0.0,8.333333333333334,5.0,0,0,0.0
United Nations Office for Project Services (UNOPS),3,3.333333333333333,10.0,0.0,0,0.0,0.0,4.166666666666667,0,0,0.0,3.333333333333333,10.0,0.0,0,0.0,0.0,4.166666666666667,0,0,0.0
UN Entity for Gender Equality and the Empowerment of Women (UN-Women),4,5.0,10.0,0.0,0,0.0,10.0,10.0,0,0,0.0,3.333333333333333,6.666666666666666,0.0,0,0.0,6.666666666666666,6.666666666666666,0,0,0.0
World Intellectual Property Organisation (WIPO),4,4.0,8.0,0.0,0,0.0,10.0,5.0,0,0,0.0,3.333333333333333,6.666666666666666,0.0,0,0.0,8.333333333333334,4.166666666666667,0,0,0.0
UN Population Fund (UNFPA),3,5.0,0.0,0.0,0,0.0,10.0,6.25,0,0,0.0,3.333333333333333,0.0,0.0,0,0.0,6.666666666666666,4.166666666666667,0,0,0.0
United Nations Human Settlements Programme (UN-Habitat),4,5.0,0.0,0.0,0,0.0,10.0,10.0,0,0,7.5,3.333333333333333,0.0,0.0,0,0.0,6.666666666666666,6.666666666666666,0,0,5.0
World Food Programme (WFP),3,4.444444444444445,10.0,0.0,0,0.0,0.0,10.0,0,0,0.0,3.333333333333333,7.5,0.0,0,0.0,0.0,7.5,0,0,0.0
World Tourism Organization/UN Tourism (UNWTO),4,4.444444444444445,10.0,0.0,0,0.0,8.88888888888889,5.555555555555555,0,0,0.0,3.333333333333333,7.5,0.0,0,0.0,6.666666666666666,4.166666666666667,0,0,0.0
UN Research Institute for Social Development (UNRISD),3,5.0,10.0,0.0,0,0.0,0.0,6.25,0,0,0.0,3.333333333333333,6.666666666666666,0.0,0,0.0,0.0,4.166666666666667,0,0,0.0
"Secretariat of the Basel, Rotterdam and Stockholm Conventions (BRS)


",4,5.0,10.0,0.0,0,0.0,10.0,6.25,0,0,0.0,3.333333333333333,6.666666666666666,0.0,0,0.0,6.666666666666666,4.166666666666667,0,0,0.0
"Secretariat of the Convention on Biological Diversity (CBD)

",3,0.0,10.0,0.0,0,0.0,10.0,6.25,0,0,0.0,0.0,6.666666666666666,0.0,0,0.0,6.666666666666666,4.166666666666667,0,0,0.0
"
Secretariat of the Convention on International Trade in Endangered Species of Wild Fauna and Flora (CITES)

",5,4.0,8.0,0.0,0,0.0,10.0,7.0,0,0,5.0,3.333333333333333,6.666666666666666,0.0,0,0.0,8.333333333333334,5.833333333333334,0,0,4.166666666666667
"
Secretariat of the Convention on Migratory Species (CMS)",4,4.444444444444445,8.88888888888889,0.0,0,0.0,10.0,5.555555555555555,0,0,0.0,3.333333333333333,6.666666666666666,0.0,0,0.0,7.5,4.166666666666667,0,0,0.0
International Fund for Agricultural Development (IFAD),2,8.0,0.0,0.0,0,0.0,0.0,0.0,0,0,10.0,3.333333333333333,0.0,0.0,0,0.0,0.0,0.0,0,0,4.166666666666667
"
International Trade Centre (ITC)",4,4.444444444444445,8.88888888888889,0.0,0,0.0,10.0,8.88888888888889,0,0,0.0,3.333333333333333,6.666666666666666,0.0,0,0.0,7.5,6.666666666666666,0,0,0.0
Secretariat of the United Nations Convention to Combat Desertification (UNCCD),4,5.0,10.0,0.0,0,0.0,10.0,6.25,0,0,0.0,3.333333333333333,6.666666666666666,0.0,0,0.0,6.666666666666666,4.166666666666667,0,0,0.0
United Nations University (UNU),4,4.444444444444445,8.88888888888889,0.0,0,0.0,10.0,5.555555555555555,0,0,0.0,3.333333333333333,6.666666666666666,0.0,0,0.0,7.5,4.166666666666667,0,0,0.0
Ramsar Convention on Wetlands Secretariat (Ramsar) ,4,5.0,10.0,0.0,0,0.0,10.0,6.25,0,0,0.0,3.333333333333333,6.666666666666666,0.0,0,0.0,6.666666666666666,4.166666666666667,0,0,0.0
Minamata Convention on Mercury (Minamata),4,4.444444444444445,8.88888888888889,0.0,0,0.0,10.0,5.555555555555555,0,0,0.0,3.333333333333333,6.666666666666666,0.0,0,0.0,7.5,4.166666666666667,0,0,0.0
United Nations Office for Outer Space Affairs (UNOOSA),4,4.0,8.0,0.0,0,0.0,10.0,7.0,0,0,0.0,3.333333333333333,6.666666666666666,0.0,0,0.0,8.333333333333334,5.833333333333334,0,0,0.0
United Nations Office on Drugs and Crime (UNODC),4,4.444444444444445,8.88888888888889,0.0,0,0.0,10.0,5.555555555555555,0,0,0.0,3.333333333333333,6.666666666666666,0.0,0,0.0,7.5,4.166666666666667,0,0,0.0
